full,team,total_points,value
Bjorn Engels,Aston Villa,42,4.5
Jos? Reina,Aston Villa,41,4.5
Ahmed El Mohamady,Aston Villa,39,4.5
Kortney Hause,Aston Villa,34,4.5
Mbwana Samatta,Aston Villa,29,6.0
Keinan Davis,Aston Villa,25,4.5
Neil Taylor,Aston Villa,22,4.5
Jos? Ignacio Peleteiro Romallo,Aston Villa,17,6.0
?rjan Nyland,Aston Villa,15,4.5
Henri Lansbury,Aston Villa,12,4.5
Daniel Drinkwater,Aston Villa,5,4.5
Daniel Drinkwater,Burnley,1,4.5
Jonathan Kodjia,Aston Villa,5,5.5
Indiana Vassilev,Aston Villa,4,4.5
Borja Gonz?lez Tom?s,Aston Villa,2,5.5
Jed Steer,Aston Villa,1,4.5
Aaron Ramsdale,Bournemouth,126,4.5
Callum Wilson,Bournemouth,116,8.0
Joshua King,Bournemouth,99,6.5
Harry Wilson,Bournemouth,91,6.0
Diego Rico,Bournemouth,84,4.0
Nathan Ak?,Bournemouth,79,5.0
Ryan Fraser,Bournemouth,73,7.5
Dominic Solanke,Bournemouth,69,5.5
Philip Billing,Bournemouth,68,5.0
Jefferson Lerma,Bournemouth,65,5.0
Dan Gosling,Bournemouth,54,5.0
Steve Cook,Bournemouth,52,5.0
Adam Smith,Bournemouth,49,4.5
Junior Stanislas,Bournemouth,42,6.0
Lewis Cook,Bournemouth,40,5.0
Jack Stacey,Bournemouth,39,4.5
Chris Mepham,Bournemouth,27,4.5
Arnaut Danjuma Groeneveld,Bournemouth,24,6.0
David Brooks,Bournemouth,21,6.5
Simon Francis,Bournemouth,16,4.5
Lloyd Kelly,Bournemouth,11,4.5
Andrew Surman,Bournemouth,6,5.0
Jack Simpson,Bournemouth,4,4.0
Sam Surridge,Bournemouth,4,4.5
Charlie Daniels,Bournemouth,3,4.5
Jordon Ibe,Bournemouth,2,5.0
Mark Travers,Bournemouth,1,4.5
Mathew Ryan,Brighton,135,4.5
Neal Maupay,Brighton,131,6.0
Lewis Dunk,Brighton,128,4.5
Leandro Trossard,Brighton,104,6.0
Adam Webster,Brighton,88,4.5
Dan Burn,Brighton,86,4.5
Aaron Mooy,Brighton,80,5.0
Davy Pr?pper,Brighton,78,5.0
Pascal Gro?,Brighton,76,6.5
Dale Stephens,Brighton,63,4.5
Mart?n Montoya,Brighton,62,4.5
Aaron Connolly,Brighton,61,4.5
Shane Duffy,Brighton,44,5.0
Yves Bissouma,Brighton,39,5.0
Solomon March,Brighton,38,5.0
Glenn Murray,Brighton,36,6.0
Steven Alzate,Brighton,33,4.5
Alireza Jahanbakhsh,Brighton,28,6.0
Tariq Lamptey,Brighton,25,4.0
Tariq Lamptey,Chelsea,1,4.0
Bernardo Fernandes da Silva Junior,Brighton,21,4.5
Alexis Mac Allister,Brighton,12,5.5
Ezequiel Schelotto,Brighton,9,4.0
Florin Andone,Brighton,5,5.0
Ga?tan Bong,Brighton,3,4.5
J?rgen Locadia,Brighton,3,5.5
Nick Pope,Burnley,170,4.5
James Tarkowski,Burnley,143,5.0
Chris Wood,Burnley,136,6.5
Dwight McNeil,Burnley,123,6.0
Ashley Westwood,Burnley,118,5.5
Ben Mee,Burnley,110,5.0
Jay Rodriguez,Burnley,100,6.0
Charlie Taylor,Burnley,84,4.5
Phil Bardsley,Burnley,78,4.5
Erik Pieters,Burnley,77,4.5
Jack Cork,Burnley,70,5.0
Jeff Hendrick,Burnley,67,5.5
Ashley Barnes,Burnley,61,6.5
Matthew Lowton,Burnley,48,4.5
Matej Vydra,Burnley,39,5.5
Robbie Brady,Burnley,32,5.5
Johann Berg Gudmundsson,Burnley,30,6.0
Josh Brownhill,Burnley,21,5.0
Kevin Long,Burnley,21,4.5
Aaron Lennon,Burnley,15,5.0
Max Thompson,Burnley,1,4.5
Willian Borges Da Silva,Chelsea,168,7.0
Tammy Abraham,Chelsea,153,7.0
Mason Mount,Chelsea,137,6.0
C?sar Azpilicueta,Chelsea,130,6.0
Christian Pulisic,Chelsea,127,7.5
Marcos Alonso,Chelsea,100,6.5
Jorge Luiz Frello Filho,Chelsea,92,5.0
Kepa Arrizabalaga,Chelsea,90,5.5
Mateo Kovacic,Chelsea,68,5.5
Olivier Giroud,Chelsea,68,7.0
Antonio R?diger,Chelsea,63,6.0
Kurt Zouma,Chelsea,62,5.0
Reece James,Chelsea,61,5.0
