full,value
Martin Kelly,4.0
Mart?n Montoya,4.5
Marvelous Nakamba,4.5
Mason Greenwood,4.5
Mason Holgate,4.5
Mason Mount,6.0
Matej Vydra,5.5
Mateo Kovacic,5.5
Mathew Ryan,4.5
Matt Doherty,6.0
Matt Macey,4.0
Matt Ritchie,5.5
Matt Targett,4.5
Matteo Darmian,5.0
Matteo Guendouzi,4.5
Matthew Clarke,4.5
Matthew Longstaff,4.5
Matthew Lowton,4.5
Matthew Smith,4.0
Matty James,4.5
Max Kilman,4.0
Max Meyer,5.5
Max Thompson,4.5
Maximillian Aarons,4.5
Maya Yoshida,4.5
Mbwana Samatta,6.0
Mesut ?zil,7.5
Michael Keane,5.5
Michael McGovern,4.0
Michael Obafemi,5.0
Michael Verrips,4.5
Michail Antonio,7.0
Michel Vorm,4.5
Michy Batshuayi,7.0
Miguel Almir?n,6.0
Mihai-Alexandru Dobre,4.5
Mohamed Elneny,4.5
Mohamed Elyounoussi,5.5
Mohamed Salah,12.5
Moise Kean,7.0
Morgan Gibbs-White,5.0
Morgan Schneiderlin,4.5
Moritz Leitner,4.5
Moussa Djenepo,5.5
Moussa Sissoko,5.0
Muhamed Be?i?,4.5
N'Golo Kant?,5.0
Nabil Bentaleb,5.0
Naby Keita,6.0
Nacho Monreal,5.0
Nampalys Mendy,4.5
Nathan Ak?,5.0
Nathan Holland,4.5
Nathan Redmond,6.5
Nathan Tella,4.5
Nathaniel Chalobah,4.5
Nathaniel Phillips,4.0
Neal Maupay,6.0
Neco Williams,4.0
Neil Taylor,4.5
Nemanja Matic,5.0
Nick Pope,4.5
Nicolas P?p?,9.5
Nicol?s Otamendi,5.5
Nikola Tavares,4.0
Nya Kirby,4.5
Odion Ighalo,6.5
Oleksandr Zinchenko,5.5
Oliver McBurnie,6.0
Oliver Norwood,5.0
Oliver Skipp,4.5
Olivier Giroud,7.0
Ondrej Duda,5.0
Onel Hern?ndez,5.5
Oriol Romeu Vidal,4.5
Oskar Buur,4.0
Oumar Niasse,4.5
Owen Otasowie,4.5
Pablo Fornals,6.5
Pablo Mar?,5.0
Pablo Zabaleta,4.5
Panagiotis Retsos,4.5
Pascal Gro?,6.5
Patrick Cutrone,6.0
Patrick Roberts,5.5
Patrick van Aanholt,5.5
Paul Dummett,4.5
Paul Pogba,8.5
Paulo Gazzaniga,4.5
Pedro Lomba Neto,5.0
Pedro Obiang,4.5
Pedro Rodr?guez Ledesma,7.0
Phil Bardsley,4.5
Phil Foden,5.5
Phil Jagielka,4.5
Phil Jones,5.0
Philip Billing,5.0
Philip Heise,4.0
Pierre-Emerick Aubameyang,11.0
Pierre-Emile H?jbjerg,5.0
Pontus Dahlberg,4.5
Rachid Ghezzal,5.5
Rafael Camacho,4.5
Raheem Sterling,12.0
Ralf Fahrmann,4.5
Ravel Morrison,5.0
Ra?l Jim?nez,7.5
Reece James,5.0
Reiss Nelson,5.5
Rhian Brewster,4.5
Rhu-endly Martina,4.0
Ricardo Domingos Barbosa Pereira,6.0
Richairo Zivkovic,5.0
Richard Stearman,4.0
Richarlison de Andrade,8.0
Riyad Mahrez,8.5
Rob Holding,4.5
Robbie Brady,5.5
Robert Kenedy Nunes do Nascimento,5.5
Robert Elliot,4.0
Robert Snodgrass,5.5
Roberto Firmino,9.5
Roberto Jimenez Gago,4.5
Roberto Pereyra,6.0
Rodrigo Hernandez,5.5
Rolando Aarons,5.0
Romain Sa?ss,4.5
Romelu Lukaku,8.5
Ross Barkley,6.0
Ruben Loftus-Cheek,6.5
Rui Pedro dos Santos Patr?cio,5.0
Ryan Bennett,5.0
Ryan Bertrand,5.0
Ryan Fraser,7.5
Ryan Fredericks,4.5
Ryan Giles,4.0
Ryan Sessegnon,5.5
R?ben Diogo da Silva Neves,5.5
R?ben Gon?alo Silva Nascimento Vinagre,4.5
Sadio Man?,11.5
Sam Byram,4.5
Sam Gallagher,4.5
Sam Surridge,4.5
Sam Woods,4.0
Sander Berge,5.0
Scott Carson,4.0
Scott Dann,4.5
Scott McTominay,5.0
Sead Kolasinac,5.5
Seamus Coleman,5.5
Sean Longstaff,5.0
Sebastian Pr?dl,4.0
Serge Aurier,5.0
Sergio Ag?ero,12.0
Sergio Romero,5.0
Shane Duffy,5.0
Shane Long,5.0
Shkodran Mustafi,5.5
Simon Francis,4.5
Simon Mignolet,4.5
Simon Moore,4.5
Sofiane Boufal,5.5
Sokratis Papastathopoulos,5.0
Solomon March,5.0
Stephen Henderson,4.0
Steve Cook,5.0
Steven Alzate,4.5
Steven Bergwijn,7.5
Steven Defour,5.5
Stuart Armstrong,5.5
Sung-yueng Ki,5.0
S?bastien Haller,7.5
Tahith Chong,4.5
Takumi Minamino,6.5
Tammy Abraham,7.0
Tanguy Ndombele,6.0
Tariq Lamptey,4.0
Taylor Harwood-Bellis,4.0
Taylor Perry,4.5
Teemu Pukki,6.5
Theo Walcott,6.5
Thomas Allan,4.5
Tim Krul,4.5
Timm Klose,4.5
Timothy Fosu-Mensah,4.5
Toby Alderweireld,5.5
Todd Cantwell,4.5
Tom Cleverley,5.0
Tom Davies,5.5
Tom Heaton,4.5
Tom Trybull,4.5
Tomas Soucek,5.0
Tommy Doyle,4.5
Trent Alexander-Arnold,7.0
Troy Deeney,6.5
Troy Parrott,4.5
Tudor Baluta,4.0
Tyreece John-Jules,4.5
Tyreke Johnson,4.5
Tyrick Mitchell,4.0
Tyrone Mings,4.5
Valentino Lazaro,5.5
Vicente Guaita,5.0
Victor Lindel?f,5.5
Victor Wanyama,5.0
Vincent Janssen,4.5
Virgil van Dijk,6.5
V?ctor Camarasa,5.0
Wayne Hennessey,4.5
Wes Morgan,4.5
Wesley Hoedt,4.5
Wesley Moraes,6.0
Wilfred Ndidi,5.0
Wilfried Zaha,7.0
Will Ferry,4.5
Will Hughes,5.5
Will Norris,4.0
William Smallbone,4.5
Willian Borges Da Silva,7.0
Willy Boly,5.0
Willy Caballero,5.0
Winston Reid,4.0
Xherdan Shaqiri,6.5
Yan Valery,5.0
Yerry Mina,5.5
Yoshinori Muto,5.5
Youri Tielemans,6.5
Yves Bissouma,5.0
Zech Medley,4.0
Zech Medley,4.0
?aglar S?y?nc?,4.5
?rjan Nyland,4.5
