full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Dwight McNeil,Burnley,7,6,529,16,931.3999999999997,3686,7176,48,2,200.60000000000002,644.1999999999999,3339,0,0,0,0,741,0,1888631,42,51,430,123,30746,242856,212110,228.49999999999997,19.0,5,20.459016393442607,4.0
Ashley Westwood,Burnley,7,11,567,15,814.2,3838,7176,39,2,154.69999999999996,596.8,3150,0,0,0,0,741,0,1523856,42,51,135,118,4791,136653,131862,206.4000000000001,19.0,9,21.73737373737373,5.0
Ben Mee,Burnley,2,6,549,13,105.79999999999998,3154,7176,45,1,112.9,658.8,2880,0,0,0,0,741,0,2665196,42,51,362,110,-6471,180290,186761,189.8,19.0,7,22.0,6.0
Jay Rodriguez,Burnley,2,9,282,7,134.99999999999997,17138,7176,34,8,137.8,431.4,2002,0,0,0,0,741,0,873166,42,51,827,100,40602,120140,79538,217.49999999999986,19.0,1,17.51714397038768,7.0
Charlie Taylor,Burnley,1,5,375,10,243.00000000000003,3306,7176,18,0,64.69999999999999,382.5999999999999,1944,0,0,0,0,741,0,3612702,42,51,19,84,50169,409039,358870,162.10000000000014,19.0,3,19.828601630927224,8.0
Phil Bardsley,Burnley,2,6,358,9,164.0,3268,7176,19,0,62.5,350.5999999999999,1890,0,0,0,0,741,0,819256,42,51,109,78,143075,178624,35549,164.80000000000004,19.0,6,18.13953488372092,9.0
Erik Pieters,Burnley,5,10,359,6,273.80000000000007,16986,7176,35,0,71.60000000000001,355.4,1876,0,0,0,0,741,0,17470150,42,51,90,77,311829,1259034,947205,168.8999999999999,19.0,2,17.479829756842328,10.0
Jack Cork,Burnley,0,0,301,12,198.2,3876,7176,41,0,82.40000000000003,313.20000000000005,2614,0,0,0,0,741,0,535431,42,51,311,70,-11001,14761,25762,187.80000000000013,19.0,1,14.159183673469393,11.0
Jeff Hendrick,Burnley,2,4,197,10,213.7,3800,7176,30,2,76.50000000000001,269.80000000000007,1930,0,0,0,0,741,0,304823,42,51,282,67,-2470,15633,18103,205.40000000000012,19.0,8,12.407407407407407,12.0
Ashley Barnes,Burnley,0,6,161,8,85.1,3420,7176,21,6,75.9,226.2,1350,0,0,0,0,741,0,10183969,42,51,474,61,-55441,1128646,1184087,238.59999999999985,19.0,4,9.478121464610386,13.0
Matthew Lowton,Burnley,1,1,270,6,181.70000000000005,3230,7176,31,0,49.2,294.19999999999993,1530,0,0,0,0,741,0,1530369,42,51,15,48,-4769,120216,124985,164.99999999999994,19.0,2,10.984126984126979,14.0
Matej Vydra,Burnley,1,3,112,5,113.3,3496,7176,7,2,53.29999999999999,144.19999999999996,807,0,0,0,0,741,0,249412,42,51,273,39,2417,27447,25030,201.60000000000002,19.0,0,7.373968777964336,15.0
Robbie Brady,Burnley,2,0,112,1,102.10000000000001,3724,7176,10,1,34.9,118.6,445,0,0,0,0,741,0,111601,42,51,128,32,-643,4394,5037,209.0,19.0,1,5.818181818181817,16.0
Johann Berg Gudmundsson,Burnley,1,1,98,3,215.40000000000003,3648,7176,7,1,44.1,118.6,617,0,0,0,0,741,0,1475542,42,51,108,30,-36319,80794,117113,224.90000000000015,19.0,0,5.045197740112994,17.0
Josh Brownhill,Burnley,0,0,111,4,58.5,8680,4327,10,0,20.8,101.19999999999999,805,0,0,0,0,441,0,8458,12,15,49,21,1142,1923,781,67.99999999999999,7.0,2,4.366666666666667,18.0
Kevin Long,Burnley,0,0,93,2,1.2999999999999998,3344,7176,5,0,13.0,104.8,562,0,0,0,0,741,0,368028,42,51,24,21,8738,20309,11571,164.90000000000003,19.0,0,4.883720930232553,18.0
Aaron Lennon,Burnley,0,0,51,0,37.8,16340,7176,15,0,9.600000000000001,45.0,485,0,0,0,0,741,0,257108,42,51,12,15,-5905,6300,12205,178.89999999999992,19.0,4,3.1402899180023547,20.0
Daniel Drinkwater,Burnley,0,0,4,0,0.9,2400,1975,2,0,0.4,3.4,58,0,0,0,0,210,0,1363448,25,30,0,1,-110485,19103,129588,88.70000000000002,10.0,0,0.22727272727272704,21.0
